l,b,ra,dec,parallax
358.292047847398,-44.1913898786646,319.234647183035,-42.8884622452598,3.79433076081656
359.670638973742,-45.3749843062375,320.788462724727,-41.8682386797143,4.93109940919428
357.439936472094,-46.1789164181298,322.00051023807,-43.3753125432012,3.99851205989188
357.152476381064,-46.4221261748033,322.357026533779,-43.5531761132081,3.49244631631784
356.793722009429,-46.7694342313638,322.866333485311,-43.766791096428,4.8117922092494
357.562993200697,-46.6597418841624,322.649614260202,-43.2515087795957,5.46522998692462
357.884567141262,-47.7978387702109,324.174075629335,-42.9296282979839,14.0783145187132
353.499781302612,-45.9313801916857,322.052505358796,-46.1202913179167,4.53916296217026
352.40889680998,-46.5611403946681,323.112599968415,-46.7777442185703,5.67446374850095
355.570694586387,-46.2643920542163,322.284263597284,-44.6552139587706,6.20896095185494
354.48674646274,-47.7994498374335,324.566711911628,-45.1943926456743,14.5986618386537
351.876250917244,-47.066114308401,323.929298778551,-47.0546431103571,4.50755565000305
352.634684075685,-47.098855862905,323.850469085147,-46.5399787065601,4.2838458259491
351.640465243144,-47.1530498024592,324.096334373054,-47.1974507371707,4.9296362878495
352.701951549575,-47.6904864693537,324.686455419168,-46.3965594333855,4.26636316345579
351.245046345161,-47.5584004114861,324.756428056662,-47.3861692448705,3.78054038295547
351.204457708051,-47.9107005997065,325.274492895765,-47.3445401482219,3.37818325176083
351.001969966502,-49.09988429666,327.030024122196,-47.2259581681657,6.37025348264488
353.230582942486,-47.5656881616259,324.422908766306,-46.0660090900929,3.82576147436636
353.604179386952,-48.1186166079289,325.147850246602,-45.7282743232354,4.58039643417892
353.839957178913,-48.0470911699489,325.010125570217,-45.5845407541141,7.79805499014098
353.420238053099,-48.9052790783334,326.287802889318,-45.7116300306329,4.60670371235841
351.627710974817,-49.1815563058379,327.015930086389,-46.8086404432377,3.58432631331169
351.641576720039,-49.7781915145015,327.862463671311,-46.6690546463983,10.5629339106045
355.676750619072,-47.569960211307,324.092042088749,-44.4321176101134,3.62451085698864
