ra,dec,pmra,pmdec,star_id,type,period,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,ebv,parallax
356.442161396848,23.233582216593,4.15064358536217,-4.21703955916897,375,short,0.0547400742134692,18.836299896240234,18.35260009765625,18.761600494384766,0.05951699987053871,2.0209629217336
355.204502931594,25.0431778224806,-2.22434369464496,-1.98760415087589,376,long,323.317142558216,15.207099914550781,9.654470443725586,11.239299774169922,0.04535900056362152,1.90230344407432
0.0274325654033424,25.8864302563644,18.5258778789323,-6.54938743801977,377,long,332.558074710629,11.991299629211426,6.130650043487549,7.473589897155762,0.0414620004594326,1.66787562910037
359.487577196944,25.9955350676885,7.09438705683305,-5.04959337881177,378,long,386.878738840403,11.229900360107422,8.905529975891113,9.978249549865723,0.04313100129365921,0.434620106445768
0.148338887261871,26.6636494888129,7.23795682607317,-22.9649036601439,379,rrlyrae,0.56606885000414,13.372900009155273,12.75629997253418,13.152999877929688,0.036981001496315,0.209412568389608
7.06321380967931,30.3436833688997,-0.35875319195726,0.714650061724476,380,long,403.70755867329,11.290499687194824,9.157830238342285,10.138299942016602,0.06598600000143051,0.472189657633185
6.80933939943798,30.8967279188382,2.13093793110724,-3.2092628906714,381,long,201.500087551788,14.692399978637695,9.555910110473633,10.941800117492676,0.07850299775600433,1.65274526520384
357.933652136986,29.7620021978731,-4.69302749058117,-9.99776186365745,382,long,323.00555863372,13.254300117492676,7.943260192871094,9.515279769897461,0.0486610010266304,0.915237783375018
351.912611077838,32.6010484588786,-2.08019071902235,-2.84471929226028,383,long,274.670410063052,16.727100372314453,11.214500427246094,13.10200023651123,0.16506899893283844,0.680162534839101
2.85443089213213,37.6277870924866,13.4485642797623,0.834198212410583,384,rrlyrae,0.583786205271158,14.228599548339844,13.443599700927734,13.918100357055664,0.0954350009560585,0.208835600364533
354.688052363819,35.7725564854343,-0.270866657482088,-2.57271961168264,385,long,315.913949394725,10.375200271606445,7.46766996383667,8.652050018310547,0.08887600153684616,0.537072791108844
94.5966191128609,-26.5297868329483,1.72951044388482,3.77488248197315,386,long,109.030915752489,12.907400131225586,9.60768985748291,10.912300109863281,0.046473000198602676,0.380727375071973
93.5618062669697,-25.0767083812218,1.55639628554092,2.95142719311714,387,short,0.189227290359816,16.99810028076172,16.635799407958984,16.963600158691406,0.027627000585198402,0.612907460568714
94.5960142613072,-23.8898551409727,0.970751005374265,-0.492672738267573,388,long,117.797846800636,12.501399993896484,8.50967025756836,9.921759605407715,0.05676399916410446,0.704181198791534
93.8439488339037,-23.7408693333794,1.43893048407395,0.378093330615278,389,rrlyrae,0.783797601218726,14.905799865722656,14.222700119018555,14.648799896240234,0.034898001700639725,0.112765765927002
92.4625833074431,-22.5309041380082,1.85750088303656,-11.9343628316577,390,long,422.395841310765,9.875720024108887,7.1260600090026855,8.308639526367188,0.055080998688936234,0.683721337475782
89.4145363868452,-24.3768320202232,3.95859245845919,-4.1676721552457,391,rrlyrae,0.538194060302645,14.908699989318848,14.24429988861084,14.68529987335205,0.038458000868558884,0.124528842329816
85.6384756356155,-23.6947494494341,0.980472664130386,0.48968784938483,392,long,444.161109289242,13.39840030670166,7.555089950561523,8.858810424804688,0.029570000246167183,0.885174520824182
87.2757978467843,-22.6872219375292,5.95269302929697,0.998677586019765,393,long,199.686299444662,12.496299743652344,9.481109619140625,10.78849983215332,0.035971999168395996,0.321254132818562
91.2387734789051,-22.2077681564742,1.03703319137135,0.497925574060203,394,long,177.615405878562,13.464099884033203,9.53617000579834,10.874300003051758,0.050370000302791595,0.609336619491766
92.2023404600264,-21.9125082915805,2.56655508603216,-2.44458592534644,395,rrlyrae,0.573905840315288,14.847700119018555,13.785099983215332,14.200900077819824,0.0662980005145073,0.173213292016933
88.5517322207034,-22.6964848820777,1.20079470956629,5.1759404002778,396,long,468.796343891468,11.01550006866455,7.995409965515137,9.282529830932617,0.04118100181221962,0.362297161563889
